degree,question,a,b,c,d,answer
1,下列何者讀音與其他三者不同?,「剝」蝕,一瓶一「缽」,分「撥」已定,楓橋夜「泊」,楓橋夜「泊」
1,下列哪一個選項用字完全正確?,既往不究,杯盤狼藉,披星載月,名不符實,杯盤狼藉
1,下列哪一個選項用字完全正確?,中流柢柱,驅之若鶩,冒險犯難,白頭協老,冒險犯難
1,下列「」內的字音何者相同?,「愴」然涕下 ／ 「滄」海一粟,「褫」奪公權 ／ 傳「遞」訊息,「裨」補缺漏 ／ 「稗」官野史,陰「霾」 ／ 「埋」葬,陰「霾」 ／ 「埋」葬
1,下列哪一個選項用字完全正確?,破涕為笑,托泥帶水,知書達理,民不寥生,破涕為笑
1,何者是辭賦之祖；由於其用韻而長篇鋪述之形式開後世漢賦之先河,楚辭,駢體文,詩經,古詩,楚辭
1,何者是明代的流行文體?,詞,曲,小說,傳奇,小說
1,下列何者不是四大奇書之一?,三國演義,水滸傳,西遊記,紅樓夢,紅樓夢
1,下列「　」中的字何者詞性與其他三者不同?,但微「頷」之,十「中」八九,笑而「遣」之,爾安敢輕吾「射」,爾安敢輕吾「射」
1,下列「 」中的詞性何組的詞性不同?,地窄人「稠」/ 「稠」濃如墨,嘆賞不「絕」/ 天下獨「絕」,吝情「去」留 / 大勢已「去」,刎頸之「交」/ 夏秋之「交」,嘆賞不「絕」/ 天下獨「絕」
2,下列哪一個選項用字完全正確?,走頭無路,按部就班,相形見拙,惹是生非,按部就班
2,下列哪一個選項用字完全正確?,對牛談琴,傾家蕩產,追根究底,金榜提名,傾家蕩產
2,下列何者讀音與其他三者不同?,「夫」天下之人,思而「弗」得,人之思想不「縛」於宗教,一齊人「傅」之,一齊人「傅」之
2,下列哪一個選項用字完全正確?,莫明其妙,及時行樂,箭拔弩張,動則得咎,及時行樂
2,下列哪一個選項用字完全正確?,伶牙利齒,死有餘孤,名列前毛,不恥下問,不恥下問
2,下列何者讀音與其他三者不同?,「窺」谷忘返,「喟」然,無窮「匱」也,未成一「簣」,「窺」谷忘返
2,下列何者不是唐宋古文八大家之一?,杜甫,柳宗元,歐陽修,曾鞏,杜甫
2,請問下列「」中的字何者未運用轉品修辭法?,「涎」著臉,微「頷」之,「花」容月貌,熱鐵「烙」膚,熱鐵「烙」膚
2,下列「」中的字何者刪去部首後字音不變?,比「喻」,「槁」木,「畎」畝,范「曄」,「畎」畝
2,下列何者不是四史之一?,史記,後漢書,論語,三國志,論語
3,下列關於近體詩的敘述何者正確?,又稱今體詩,仿效先秦兩漢樸實無華風格,重形式輕內容,多長短句,又稱今體詩
3,下列哪一個選項用字完全正確?,一股作氣,故步自封,恭逢其盛,克苦耐勞,故步自封
3,周敦頤又稱甚麼先生,濂溪先生,南豐先生,靖節先生,紫陽先生,濂溪先生
3,青蓮居士是再說誰?,李白,白居易,歐陽修,周邦彥,李白
3,以下「　」中的字何者詞性兩兩相同？,一「瓢」飲／長亭酒一「瓢」,「斯」天下之民至焉／「斯」而析之,王無「罪」歲／非戰之「罪」,「負」戴於道／如釋重「負」,一「瓢」飲／長亭酒一「瓢」
3,下列「」中詞性何組相同?,石簣「數」為余言／「數」見不鮮,長存抱柱「信」／「信」口雌黃,不恥相「師」／聖人無常「師」,(D)金?子弟來「相」送／管仲「相」桓公,石簣「數」為余言／「數」見不鮮
3,甲、「之其所賤惡而辟焉」乙、「好而知其惡，惡而知其美」丙、「人莫知其子之惡」以上字音為「ㄨˋ」者有幾個?,1,2,3,4,2
3,下列選項「 」內字音完全相同的是?,「道」之以政／吾「道」一以貫之,「怏 怏」不樂／「泱泱」大國,話「匣」子／「狎」弄,斑「斕」／「爛」漫,話「匣」子／「狎」弄
3,下列與「聊表心意」的「聊」字意思相同的是?,民不「聊」生,「聊」以自娛,百無「聊」賴,閒「聊」談天,「聊」以自娛
3,下列哪一個選項用字有誤?,人文匯萃,破釜沉舟,天作之合,醍醐灌頂,人文匯萃
