degree,question,a,b,c,d,answer
1,1+1,0,1,2,3,2
1,2+3,2,3,4,5,5
1,6+5,9,10,11,12,11
1,6+19,25,23,26,29,25
1,28+4,32,30,31,33,32
1,39+17,56,55,57,58,56
1,51+23,74,75,76,77,74
1,62+18,80,81,82,83,80
1,43+30,71,72,73,74,73
1,87+11,98,97,96,95,98
1,8-1,7,8,9,6,7
1,19-12,7,5,6,8,7
1,22-3,19,17,18,20,19
1,33-11,22,20,21,23,22
1,48-24,24,23,22,21,24
1,56-6,50,51,52,53,50
1,66-37,29,27,26,25,29
1,71-19,52,51,50,49,52
1,84-61,23,22,21,20,23
1,99-98,1,2,3,4,1
2,2*2,4,5,6,7,4
2,3*6,18,17,19,20,18
2,4*8,32,31,30,29,32
2,5*3,15,14,16,17,15
2,6*7,42,40,41,43,42
2,7*9,63,30,61,62,63
2,8*1,8,5,6,7,8
2,9*9,81,80,82,83,81
2,1*7,7,5,6,8,7
2,9*3,27,28,29,30,27
2,6/2,3,2,4,1,3
2,15/3,5,6,7,8,5
2,26/2,13,12,14,15,13
2,38/19,2,3,4,5,2
2,42/7,6,4,5,7,6
2,51/3,17,18,19,16,17
2,68/4,17,16,18,19,17
2,72/8,9,7,8,10,9
2,88/11,8,6,12,14,8
2,93/3,31,29,33,27,31
3,5.929 中的?個 9差幾倍?,1,10,100,1000,100
3,找出?邊長為 2cm、3cm 的三角形的第三邊?,1,2,5,6,2
3,280-160/8*4?,200,300,220,240,200
3,100+(32+8)/5,108,106,107,109,108
3,4 日 8 時 ÷ 13 ?,6時,7時,8時,9時,8時
3,3 公噸 250 公斤＋1160 公斤＝?公噸,4.41,4.43,4.63,4.61,4.41
3, 0.35 乘以下面哪一個數得到的乘積會比 0.35 大？,0.882,1,1.1,0.999,1.1
3,0.53×1.26 和下面哪一個算式的積一樣?,53*1.26,5.3*0.126,0.53*12.6,5.3*12.6,5.3*0.126
3,紅葳比大姐小 2 歲、比小妹大 5 歲；三人的?齡和是 45 歲。下?哪一個選項是正確的?,紅葳的大姐?齡是 20 歲,紅葳的?齡是 18 歲,三人的?齡?是 3 的倍?,紅葳的小妹?齡是 11 歲,紅葳的小妹?齡是 12 歲
3,下?敘述何者錯誤?,時間×速?＝距? ,距?÷速?＝時間,時間×距?＝速? ,距?÷時間＝速?,時間×距?＝速? 
3,比較?比基準?大時以下何者正確?,比值大於 1,比值小於 1,比值等於 1 ,皆非,比值大於 1
3,請問下面哪一個選項兩者之間是成正比關係?,姐姐和妹妹年齡的關係,同類的水果；價錢和重量的關係,面積固定；長方形的長和寬的關係,爸爸帶 1000 元到市場；買菜的錢和剩下的錢的關係,同類的水果；價錢和重量的關係
3,請問半徑 36 公分的圓面積是直徑 36 公分 圓面積的幾倍,2,4,6,8,4
3,唐三藏的身高 160 公分、影子長 3 公尺。 同一時間唐三藏身旁的樹影長是 12 公尺。 請問樹高多少公尺?,6.8,6.4,6,5.6,6.4
3,下列各組數中哪兩個數「互質」?,17 和 68,13 和 91,26 和 39,35 和 57,35 和 57
3,A 和 B 都是質數那麼它們的最大公因 數是多少?,A,B,1,A+B,1
3,1-20 數中有幾個合數?,11,12,13,14,11
3,下面哪一個數用四捨五入法取概數到小數第二位不是 721.00?,720.999,721.001,721.008,721.004,721.008
3,有一個正方體容器；將每邊的邊長都減少一半。則容積減為原本的幾分之幾?,1/8,1/4,1/2,1/16,1/8
3,真分數乘以真分數所得的積是什麼?,帶分數,假分數,真分數,整數,真分數
